,symbol,price
2022-05-18,SPY,397.68
2022-05-19,SPY,389.03999999999996
2022-05-20,SPY,391.44
2022-05-23,SPY,394.875
2022-05-24,SPY,393.225
2022-05-25,SPY,394.84000000000003
2022-05-26,SPY,401.99
2022-05-27,SPY,411.58500000000004
2022-05-31,SPY,413.24
2022-06-01,SPY,412.38
2022-06-02,SPY,413.405
2022-06-03,SPY,411.47
2022-06-06,SPY,413.28499999999997
2022-06-07,SPY,411.92
2022-06-08,SPY,412.57500000000005
2022-06-09,SPY,405.39
2022-06-10,SPY,392.34000000000003
2022-06-13,SPY,377.425
2022-06-14,SPY,375.36
2022-06-15,SPY,378.28
2022-06-16,SPY,368.58
2022-06-17,SPY,365.685
2022-06-21,SPY,373.48
2022-06-22,SPY,372.505
2022-06-23,SPY,377.35
2022-06-24,SPY,385.74
2022-06-27,SPY,389.82
2022-06-28,SPY,385.44
2022-06-29,SPY,380.78499999999997
2022-06-30,SPY,376.745
2022-07-01,SPY,378.9
2022-07-05,SPY,378.91999999999996
2022-07-06,SPY,382.68
2022-07-07,SPY,387.055
2022-07-08,SPY,387.97
2022-07-11,SPY,385.04
2022-07-12,SPY,382.24
2022-07-13,SPY,376.96500000000003
2022-07-14,SPY,375.76
2022-07-15,SPY,383.84000000000003
2022-07-18,SPY,385.16499999999996
2022-07-19,SPY,389.17499999999995
2022-07-20,SPY,393.62
2022-07-21,SPY,396.475
2022-07-22,SPY,397.005
2022-07-25,SPY,395.65999999999997
2022-07-26,SPY,392.365
2022-07-27,SPY,397.70000000000005
2022-07-28,SPY,403.98
2022-07-29,SPY,409.78499999999997
